No,地方,chihou,都道府県,todouhuken,area_km2,population_k,female_k,ramen_shop,sake_l,sake_l_person,mcdnald_shop,name_sato,source_ml
1,北海道,Hokkaido,北海道,Hokkaido,83424 ,5320 ,2814 ,1898 ,33810000 ,7.49,87,161000,1217
2,東北,Tohoku,青森,Aomori,9646 ,1278 ,678 ,482 ,8893000 ,8.18,21,34400,1588
3,東北,Tohoku,岩手,Iwate,15275 ,1255 ,651 ,363 ,8199000 ,7.72,14,65200,1068
4,東北,Tohoku,宮城,Miyagi,6859 ,2323 ,1188 ,726 ,14085000 ,7.29,42,163000,1234
5,東北,Tohoku,秋田,Akita,11638 ,996 ,528 ,390 ,7114000 ,8.24,15,81900,971
6,東北,Tohoku,山形,Yamagata,6652 ,1102 ,571 ,732 ,6772000 ,7.3,18,82700,1342
7,東北,Tohoku,福島,Fukushima,13784 ,1882 ,951 ,731 ,11465000 ,7.24,33,110000,1139
8,関東,Kanto,茨城,Ibaraki,6097 ,2892 ,1450 ,867 ,14078000 ,5.87,78,39300,1194
9,関東,Kanto,栃木,Tochigi,6408 ,1957 ,983 ,896 ,10101000 ,6.22,45,30500,1250
10,関東,Kanto,群馬,Gumma,6362 ,1960 ,992 ,660 ,10035000 ,6.19,41,28800,1327
11,関東,Kanto,埼玉,Saitama,3768 ,7310 ,3662 ,1145 ,35485000 ,5.88,187,105000,1294
12,関東,Kanto,千葉,Chiba,5083 ,6246 ,3143 ,1298 ,32053000 ,6.18,154,88400,1218
13,関東,Kanto,東京,Tokyo,2106 ,13724 ,6964 ,3139 ,110043000 ,9.54,346,213000,1241
14,関東,Kanto,神奈川,Kanagawa,2416 ,9159 ,4590 ,1439 ,46518000 ,6.14,221,164000,1269
15,中部,Chubu,新潟,Niigata,10364 ,2267 ,1169 ,971 ,15456000 ,8.11,37,76100,1016
16,中部,Chubu,富山,Toyama,2046 ,1056 ,544 ,385 ,5754000 ,6.5,26,2700,1562
17,中部,Chubu,石川,Ishikawa,4186 ,1147 ,591 ,400 ,6462000 ,6.84,30,2700,1135
18,中部,Chubu,福井,Fukui,4190 ,779 ,401 ,210 ,3873000 ,6.07,20,2800,1263
19,中部,Chubu,山梨,Yamanashi,4254 ,823 ,421 ,266 ,4891000 ,7.13,21,10300,1195
20,中部,Chubu,長野,Nagano,13104 ,2076 ,1064 ,738 ,11898000 ,6.91,38,22000,1132
21,中部,Chubu,岐阜,Gifu,9769 ,2008 ,1035 ,442 ,8498000 ,5.14,43,16400,1639
22,中部,Chubu,静岡,Shizuoka,7253 ,3675 ,1866 ,935 ,18090000 ,5.95,89,43800,1481
23,中部,Chubu,愛知,Aichi,5123 ,7525 ,3761 ,1423 ,33363000 ,5.46,193,72400,1651
24,近畿,Kinki,三重,Mie,5759 ,1800 ,923 ,316 ,7894000 ,5.31,43,11800,1417
25,近畿,Kinki,滋賀,Shiga,3767 ,1413 ,716 ,223 ,5619000 ,4.94,40,3400,1727
26,近畿,Kinki,京都,Kyoto,4612 ,2599 ,1357 ,472 ,14210000 ,6.56,80,10600,1990
27,近畿,Kinki,大阪,Osaka,1905 ,8823 ,4583 ,1201 ,51675000 ,7.06,233,40700,1987
28,近畿,Kinki,兵庫,Hyogo,8401 ,5503 ,2879 ,726 ,27742000 ,6.11,144,21000,2046
29,近畿,Kinki,奈良,Nara,3691 ,1348 ,712 ,167 ,5560000 ,4.96,36,3900,1939
30,近畿,Kinki,和歌山,Wakayama,4725 ,945 ,501 ,167 ,4898000 ,6.18,23,1800,1714
31,中国,Chugoku,鳥取,Tottori,3507 ,565 ,295 ,155 ,3221000 ,6.85,10,1500,1571
32,中国,Chugoku,島根,Shimane,6708 ,685 ,355 ,201 ,3986000 ,6.97,8,5300,1327
33,中国,Chugoku,岡山,Okayama,7011 ,1907 ,991 ,456 ,8979000 ,5.72,36,19200,2486
34,中国,Chugoku,広島,Hiroshima,8479 ,2829 ,1457 ,826 ,15796000 ,6.78,53,21800,2546
35,中国,Chugoku,山口,Yamaguchi,6112 ,1383 ,727 ,297 ,6913000 ,5.96,26,4100,1594
36,四国,Shikoku,徳島,Tokushima,4147 ,743 ,389 ,253 ,3679000 ,5.85,15,8100,2250
37,四国,Shikoku,香川,Kagawa,1863 ,967 ,499 ,182 ,4678000 ,5.81,25,6200,1933
38,四国,Shikoku,愛媛,Ehime,5676 ,1364 ,719 ,308 ,7063000 ,6.19,28,3300,1773
39,四国,Shikoku,高知,Kochi,7104 ,714 ,377 ,168 ,4501000 ,7.44,11,980,1491
40,九州,Kyushyu,福岡,Fukuoka,4854 ,5107 ,2692 ,1436 ,29078000 ,6.95,97,33800,1301
41,九州,Kyushyu,佐賀,Saga,2441 ,824 ,434 ,273 ,4301000 ,6.42,16,3000,1114
42,九州,Kyushyu,長崎,Nagasaki,4132 ,1354 ,718 ,248 ,7428000 ,6.6,21,7600,1264
43,九州,Kyushyu,熊本,Kumamoto,7272 ,1765 ,933 ,546 ,9375000 ,6.47,34,12400,1137
44,九州,Kyushyu,大分,Oita,5100 ,1152 ,607 ,287 ,7330000 ,7.64,24,39500,1137
45,九州,Kyushyu,宮崎,Miyazaki,6794 ,1089 ,577 ,356 ,8362000 ,9.34,17,13600,1304
46,九州,Kyushyu,鹿児島,Kagoshima,9043 ,1626 ,863 ,567 ,12630000 ,9.43,24,3100,1158
47,九州,Kyushyu,沖縄,Okinawa,2281 ,1443 ,734 ,232 ,9694000 ,8.75,41,800,789